surrogate,attack,target,num_samples,clean_accuracy,adversarial_accuracy,attack_success_rate,mean_linf_perturbation,max_linf_perturbation,reported_clean_acc,reported_robust_acc,delta_vs_reported,generation_time_s
cifar10_mobilenetv2_x1_4,VMIFGSM,Andriushchenko2020Understanding,10000,79.84,78.25,2.19,0.031373,0.031373,79.84,43.93,34.32,418.0
cifar10_mobilenetv2_x1_4,VMIFGSM,Ding2020MMA,10000,84.36,82.15,2.86,0.031373,0.031373,84.36,41.44,40.71,418.0
cifar10_mobilenetv2_x1_4,VMIFGSM,Chen2020Adversarial,10000,86.04,83.98,2.52,0.031373,0.031373,86.04,51.56,32.42,418.0
cifar10_mobilenetv2_x1_4,DIFGSM,Andriushchenko2020Understanding,10000,79.84,78.45,2.0,0.031373,0.031373,79.84,43.93,34.52,69.8
cifar10_mobilenetv2_x1_4,DIFGSM,Ding2020MMA,10000,84.36,82.31,2.6,0.031373,0.031373,84.36,41.44,40.87,69.8
cifar10_mobilenetv2_x1_4,DIFGSM,Chen2020Adversarial,10000,86.04,84.23,2.27,0.031373,0.031373,86.04,51.56,32.67,69.8
cifar10_mobilenetv2_x1_4,TIFGSM,Andriushchenko2020Understanding,10000,79.84,78.18,2.52,0.031373,0.031373,79.84,43.93,34.25,69.9
cifar10_mobilenetv2_x1_4,TIFGSM,Ding2020MMA,10000,84.36,82.28,3.15,0.031373,0.031373,84.36,41.44,40.84,69.9
cifar10_mobilenetv2_x1_4,TIFGSM,Chen2020Adversarial,10000,86.04,84.2,2.48,0.031373,0.031373,86.04,51.56,32.64,69.9
cifar10_repvgg_a2,Admix,Andriushchenko2020Understanding,10000,79.84,77.82,2.92,0.031373,0.031373,79.84,43.93,33.89,943.1
cifar10_repvgg_a2,Admix,Ding2020MMA,10000,84.36,81.68,3.47,0.031373,0.031373,84.36,41.44,40.24,943.1
cifar10_repvgg_a2,Admix,Chen2020Adversarial,10000,86.04,83.71,2.88,0.031373,0.031373,86.04,51.56,32.15,943.1
cifar10_repvgg_a2,VMIFGSM,Andriushchenko2020Understanding,10000,79.84,77.64,2.93,0.031373,0.031373,79.84,43.93,33.71,551.6
cifar10_repvgg_a2,VMIFGSM,Ding2020MMA,10000,84.36,81.43,3.62,0.031373,0.031373,84.36,41.44,39.99,551.6
